year,location,mentions,lat,lon
1881,Antofagasta,1,-23.6509,-70.3975
1881,Iquique,1,-20.2133,-70.1503
1881,Santiago,1,-33.4489,-70.6693
1881,Valparaíso,1,-33.0472,-71.6127
1885,Concepción,1,-36.827,-73.0503
1885,Copiapó,1,-27.3668,-70.3323
1885,Punta Arenas,1,-53.1638,-70.9171
1885,Temuco,1,-38.7359,-72.5904
1910,Chillán,1,-36.6066,-72.1034
1910,Santiago,1,-33.4489,-70.6693
1910,Talca,1,-35.4264,-71.6554
1910,Valparaíso,1,-33.0472,-71.6127
1925,Antofagasta,1,-23.6509,-70.3975
1925,Puerto Montt,1,-41.4693,-72.9424
1925,Valdivia,1,-39.8196,-73.2452
1960,Concepción,1,-36.827,-73.0503
1960,Osorno,1,-40.5738,-73.136
1960,Santiago,1,-33.4489,-70.6693
1960,Valdivia,1,-39.8196,-73.2452
1990,Antofagasta,1,-23.6509,-70.3975
1990,Arica,1,-18.4783,-70.3126
1990,Iquique,1,-20.2133,-70.1503
1990,Punta Arenas,1,-53.1638,-70.9171
1990,Santiago,1,-33.4489,-70.6693
2010,Concepción,1,-36.827,-73.0503
2010,Santiago,1,-33.4489,-70.6693
2010,Talca,1,-35.4264,-71.6554
2010,Talcahuano,1,-36.7167,-73.1167
2010,Valparaíso,1,-33.0472,-71.6127
