location,count,decade
Antofagasta,1,1880
Concepción,1,1880
Copiapó,1,1880
Iquique,1,1880
Punta Arenas,1,1880
Santiago,1,1880
Temuco,1,1880
Valparaíso,1,1880
Chillán,1,1910
Santiago,1,1910
Talca,1,1910
Valparaíso,1,1910
Antofagasta,1,1920
Puerto Montt,1,1920
Valdivia,1,1920
Concepción,1,1960
Osorno,1,1960
Santiago,1,1960
Valdivia,1,1960
Antofagasta,1,1990
Arica,1,1990
Iquique,1,1990
Punta Arenas,1,1990
Santiago,1,1990
Concepción,1,2010
Santiago,1,2010
Talca,1,2010
Talcahuano,1,2010
Valparaíso,1,2010
